ID_OFERTA;DATA_COLETA;ITEM_ORIGINAL;ITEM_NORMALIZADO;GRUPO_COMPARAVEL;LOJA;TIPO_CANAL;MARCA;DESCRICAO_COMERCIAL;MODELO_REFERENCIA;MATERIAL;ACABAMENTO_COR;MEDIDA_PRINCIPAL;UNIDADE_MEDIDA;TIPO_PRODUTO;PRECO_LISTA;PRECO_PIX;PRECO_UTILIZADO;PRECISAO_FONTE;CLASSIFICACAO_COMPARABILIDADE;NIVEL_PRODUTO;OBSERVACAO_ANALITICA;URL_FONTE;IMAGEM_LOCAL;IMAGEM_LEGENDA
1;2026-05-19;SIFÃO;Sifão;Sifão simples branco;Mercado Livre;Marketplace;Blukit;Sifão tubo extensivo universal branco;;PVC;Branco;n/i;;Simples;25.29;;25.29;Produto;B;Funcional básico;"Comparável com sifões extensivos simples; verificar comprimento exato.";https://www.mercadolivre.com.br/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
2;2026-05-19;SIFÃO;Sifão;Sifão cromado longo;Mercado Livre;Marketplace;Blukit;Sifão sanfonado extensível cromado universal;;PVC / acabamento cromado;Cromado;1,5;m;Longo / cromado;74.0;;74.0;Produto;C;Acabamento superior;Não comparar com sifões brancos simples.;https://www.mercadolivre.com.br/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
3;2026-05-19;SIFÃO;Sifão;Sifão simples branco;Amazon;Marketplace;Tigre;Sifão sanfonado universal para lavatório;;n/i;Branco;n/i;;Simples;20.99;;20.99;Produto;B;Funcional básico;Verificar se é lavatório ou multiuso.;https://www.amazon.com.br/;;
4;2026-05-19;SIFÃO;Sifão;Sifão simples colorido;Amazon;Marketplace;Blukit;Sifão tubo extensivo universal sanfonado preto;;Polipropileno;Preto;70;cm;Simples;19.0;;19.0;Busca;B;Funcional acabamento;"Preço a partir de; confirmar oferta final.";https://www.amazon.com.br/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
5;2026-05-19;SIFÃO;Sifão;Sifão simples branco;Cassol;Varejo próprio;Tigre;Sifão ajustável multiuso branco;;n/i;Branco;n/i;;Simples;10.9;;10.9;Produto;B;Funcional básico;Boa referência de varejo físico especializado.;https://www.cassol.com.br/;;
6;2026-05-19;SIFÃO;Sifão;Sifão com copo;Cassol;Varejo próprio;Tigre;Sifão para lavatório/pia Mobylle com copo branco flexível;;n/i;Branco;n/i;;Com copo;30.9;;30.9;Produto;C;Intermediário técnico;Produto superior a sifão simples.;https://www.cassol.com.br/;;
7;2026-05-19;SIFÃO;Sifão;Sifão simples branco;Casa Mimosa;Varejo próprio;Censi;Tubo extensível com suporte branco;;n/i;Branco;n/i;;Simples;6.97;;6.97;Produto;B;Entrada de preço;"Possível item de menor complexidade; validar equivalência.";https://www.casamimosa.com.br/;;
8;2026-05-19;SIFÃO;Sifão;Sifão com copo;Casa Mimosa;Varejo próprio;Blukit;Sifão universal com copo branco;;n/i;Branco;n/i;;Com copo;40.93;;40.93;Produto;C;Intermediário técnico;Não comparar com tubo extensivo simples.;https://www.casamimosa.com.br/;assets/product-images/blukit_sifao_copo_cromado.png;Imagem pública de referência do sifão com copo cromado Blukit.
9;2026-05-19;SIFÃO;Sifão;Sifão cromado;Casa Mimosa;Varejo próprio;Blukit;Sifão tubo extensivo universal cromado;;n/i;Cromado;n/i;;Cromado;32.57;;32.57;Produto;C;Acabamento superior;Acabamento influencia preço.;https://www.casamimosa.com.br/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
10;2026-05-19;MECANISMO CAIXA ACOP;Mecanismo caixa acoplada;Mecanismo de saída;Magalu;Marketplace;Censi;Mecanismo saída universal ref. 9450;9450;n/i;n/i;n/i;;Saída;38.94;38.94;38.94;Produto;B;Peça avulsa;Comparar apenas com mecanismos de saída.;https://www.magazineluiza.com.br/;;
11;2026-05-19;MECANISMO CAIXA ACOP;Mecanismo caixa acoplada;Mecanismo de entrada;Magalu;Marketplace;Censi;Reparo mecanismo entrada boia universal;;n/i;n/i;n/i;;Entrada;43.71;43.71;43.71;Produto;B;Peça avulsa;Comparar apenas com mecanismos de entrada.;https://www.magazineluiza.com.br/;;
12;2026-05-19;MECANISMO CAIXA ACOP;Mecanismo caixa acoplada;Mecanismo de entrada;Magalu;Marketplace;Censi;Mecanismo entrada Compact ref. 9500;9500;n/i;n/i;n/i;;Entrada;66.5;66.5;66.5;Produto;B;Peça avulsa;Linha acima da reposição simples.;https://www.magazineluiza.com.br/;;
13;2026-05-19;MECANISMO CAIXA ACOP;Mecanismo caixa acoplada;Kit completo;Magalu;Marketplace;Astra;Kit completo universal para caixa acoplada;;n/i;n/i;n/i;;Kit completo;68.6;68.6;68.6;Produto;C;Kit;Não comparar com entrada/saída avulsa.;https://www.magazineluiza.com.br/;;
14;2026-05-19;MECANISMO CAIXA ACOP;Mecanismo caixa acoplada;Kit completo;Magalu;Marketplace;Blukit;Kit mecanismo para caixa acoplada universal;;n/i;n/i;n/i;;Kit completo;129.9;129.9;129.9;Produto;C;Kit premium;Maior ticket por conjunto completo.;https://www.magazineluiza.com.br/;;
15;2026-05-19;MECANISMO CAIXA ACOP;Mecanismo caixa acoplada;Saída específica / duplo acionamento;Magalu;Marketplace;Deca;Reparo Deca Si5901 torre saída duplo 3/6 L;Si5901;n/i;n/i;3/6;L;Saída específica;149.9;149.9;149.9;Produto;D;Premium / específico;"Peça específica; não comparar com universal.";https://www.magazineluiza.com.br/;;
16;2026-05-19;MECANISMO CAIXA ACOP;Mecanismo caixa acoplada;Kit completo;Leroy Merlin;Varejo próprio;Blukit;Kit para caixa acoplada com mecanismo;;n/i;n/i;n/i;;Kit completo;237.0;;237.0;Busca;C;Kit premium;"Preço observado em resultado; confirmar no produto.";https://www.leroymerlin.com.br/;;
17;2026-05-19;VALV ALTER PRESS CX;Válvula alternadora de pressão;Alternadora de pressão;Shopee;Marketplace;Pádova;Válvula transferidora alternadora aumenta pressão;;n/i;n/i;n/i;;Alternadora;77.0;;77.0;Produto;A;Entrada de preço;Alta comparabilidade dentro da categoria.;https://shopee.com.br/;;
18;2026-05-19;VALV ALTER PRESS CX;Válvula alternadora de pressão;Alternadora de pressão;Shopee;Marketplace;Genérica;Alternadora mais pressão caixa d'água;;n/i;n/i;n/i;;Alternadora;94.32;;94.32;Busca;A;Intermediário;"Oferta genérica; validar fabricante.";https://shopee.com.br/;;
19;2026-05-19;VALV ALTER PRESS CX;Válvula alternadora de pressão;Alternadora de pressão;Shopee;Marketplace;Genérica;Alternadora mais pressão caixa d'água;;n/i;n/i;n/i;;Alternadora;97.7;;97.7;Busca;A;Intermediário;"Oferta genérica; validar fabricante.";https://shopee.com.br/;;
20;2026-05-19;VALV ALTER PRESS CX;Válvula alternadora de pressão;Alternadora de pressão;Amazon;Marketplace;Blukit;Válvula alternadora de pressão;;n/i;n/i;n/i;;Alternadora;98.0;;98.0;Produto;A;Intermediário;Marca de referência no segmento.;https://www.amazon.com.br/;assets/product-images/blukit_valvula_alternadora.png;Imagem pública de referência da Válvula Alternadora de Pressão Blukit.
21;2026-05-19;VALV ALTER PRESS CX;Válvula alternadora de pressão;Alternadora com dupla retenção;Shopee;Marketplace;Blukit;Válvula Duchão com dupla retenção;;n/i;n/i;n/i;;Alternadora premium;108.9;;108.9;Produto;B;Premium funcional;Características superiores podem elevar preço.;https://shopee.com.br/;assets/product-images/blukit_valvula_alternadora.png;Imagem pública de referência da Válvula Alternadora de Pressão Blukit.
22;2026-05-19;VALV ALTER PRESS CX;Válvula alternadora de pressão;Alternadora com dupla retenção;Shopee;Marketplace;Blukit;Válvula Duchão com dupla retenção;;n/i;n/i;n/i;;Alternadora premium;113.05;;113.05;Produto;B;Premium funcional;Variação entre sellers.;https://shopee.com.br/;assets/product-images/blukit_valvula_alternadora.png;Imagem pública de referência da Válvula Alternadora de Pressão Blukit.
23;2026-05-19;VALV ALTER PRESS CX;Válvula alternadora de pressão;Alternadora linha Pro;Shopee;Marketplace;Censi;Válvula transferidora de pressão Linha Pro;;n/i;n/i;n/i;;Alternadora premium;132.81;132.81;132.81;Produto;B;Premium funcional;Linha Pro acima da média de preço.;https://shopee.com.br/;;
24;2026-05-19;SIFAO P/LAVATORIO-PI;Sifão p/ lavatório-pia;Funcional com copo;Cassol;Varejo próprio;Tigre;Sifão para lavatório pia Mobylle copo branco flexível;;n/i;Branco;n/i;;Com copo;30.9;;30.9;Produto;B;Intermediário;Boa referência funcional.;https://www.cassol.com.br/;;
25;2026-05-19;SIFAO P/LAVATORIO-PI;Sifão p/ lavatório-pia;Funcional simples;Cassol;Varejo próprio;Astra;Sifão para lavatório;;n/i;Branco;n/i;;Simples;16.9;;16.9;Produto;B;Econômico;Produto funcional de menor ticket.;https://www.cassol.com.br/;;
26;2026-05-19;SIFAO P/LAVATORIO-PI;Sifão p/ lavatório-pia;Funcional com copo;Shopee;Marketplace;Genérica;Sifão flexível com copo preto;;n/i;Preto;n/i;;Com copo;19.8;;19.8;Busca;B;Econômico;Validar material e compatibilidade.;https://shopee.com.br/;;
27;2026-05-19;SIFAO P/LAVATORIO-PI;Sifão p/ lavatório-pia;Funcional com copo;Magalu;Marketplace;Genérica;Sifão sanfonado universal branco com copo;;n/i;Branco;n/i;;Com copo;26.32;;26.32;Produto;B;Intermediário;Comparável com modelos funcionais com copo.;https://www.magazineluiza.com.br/;;
28;2026-05-19;SIFAO P/LAVATORIO-PI;Sifão p/ lavatório-pia;Acabamento cromado;Amazon;Marketplace;Astra;Sifão sanfonado com copo cromado;;n/i;Cromado;n/i;;Com copo cromado;53.0;;53.0;Produto;C;Premium funcional;Acabamento cromado eleva preço.;https://www.amazon.com.br/;;
29;2026-05-19;SIFAO P/LAVATORIO-PI;Sifão p/ lavatório-pia;Metálico decorativo;Casa Mimosa;Varejo próprio;Deca;Sifão para lavatório cromado 1680.C.100.112;1680.C.100.112;Metal;Cromado;n/i;;Decorativo premium;363.57;;363.57;Produto;D;Premium alto;Não comparar com sifão funcional simples.;https://www.casamimosa.com.br/;;
30;2026-05-19;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira 90°;Leroy Merlin;Varejo próprio;IVM Italy;Torneira máquina lavar angular 90º;;Latão forjado;Cromado;"1/2"" x 3/4""";;Angular 90°;44.99;;44.99;Produto;A;Intermediário técnico;Boa referência técnica.;https://www.leroymerlin.com.br/;;
31;2026-05-19;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira esfera;Amazon;Marketplace;Genérica;Torneira de máquina de lavar de esfera cromado;;n/i;Cromado;n/i;;Esfera;46.1;;46.1;Produto;B;Intermediário;Validar ângulo exato e medida de conexão.;https://www.amazon.com.br/;;
32;2026-05-19;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira esfera;Magalu;Marketplace;Blukit;Torneira esfera para máquina de lavar 1/2;;n/i;Cromado;"1/2""";;Esfera;47.41;;47.41;Produto;B;Intermediário;Comparabilidade parcial com angular 90°.;https://www.magazineluiza.com.br/;assets/product-images/blukit_torneira_maquina.png;Imagem pública de referência de torneira para máquina Blukit.
33;2026-05-19;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira ABS 90°;Amazon;Marketplace;Blukit;Torneira máquina lavar 90° ABS cromada 1/2;;ABS cromado;Cromado;"1/2""";;Angular 90°;52.15;;52.15;Produto;B;Intermediário;Material ABS deve ser analisado em separado de metal.;https://www.amazon.com.br/;assets/product-images/blukit_torneira_maquina.png;Imagem pública de referência de torneira para máquina Blukit.
34;2026-05-19;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira com filtro;Magalu;Marketplace;Blukit;Torneira 90° com filtro para máquina;;n/i;Cromado;n/i;;Com filtro;72.16;;72.16;Produto;C;Premium funcional;Função adicional aumenta preço.;https://www.magazineluiza.com.br/;assets/product-images/blukit_torneira_maquina.png;Imagem pública de referência de torneira para máquina Blukit.
35;2026-05-19;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira esfera;Leroy Merlin;Varejo próprio;Genérica;Torneira esfera para máquina de lavar 1/2 x 3/4;;n/i;Cromado;"1/2"" x 3/4""";;Esfera;71.1;71.1;71.1;Produto;B;Premium funcional;Comparar com outras de mesma bitola.;https://www.leroymerlin.com.br/;;
36;2026-05-19;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira 1/4 de volta;Casa Mimosa;Varejo próprio;Cemix;Torneira para tanque e máquina 1/4 de volta;;n/i;Cromado;n/i;;1/4 de volta;75.66;;75.66;Produto;C;Premium funcional;Outro mecanismo de acionamento.;https://www.casamimosa.com.br/;;
37;2026-05-19;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha plástica;Cassol;Varejo próprio;Amanco;Grelha quadrada 100 mm;;Plástico;Branco;100;mm;Grelha avulsa;3.9;;3.9;Produto;A;Entrada de preço;Alta comparabilidade com grelhas plásticas 100 mm.;https://www.cassol.com.br/;;
38;2026-05-19;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha plástica;Magalu;Marketplace;Krona;Grelha quadrada para caixa sifonada 150 mm;;Plástico;Branco;150;mm;Grelha avulsa;5.84;;5.84;Produto;B;Entrada de preço;Medida diferente de 100 mm.;https://www.magazineluiza.com.br/;;
39;2026-05-19;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha/conjunto;Leroy Merlin;Varejo próprio;Astra;Caixa sifonada com grelha quadrada branca;;n/i;Branco;n/i;;Conjunto;26.99;;26.99;Produto;D;Não comparável;"É conjunto com caixa; não comparar com grelha avulsa.";https://www.leroymerlin.com.br/;;
40;2026-05-19;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Porta-grelha;Amazon;Marketplace;Durín;Porta-grelha quadrada cromada;;n/i;Cromado;100;mm;Porta-grelha;23.16;;23.16;Produto;D;Não comparável;Componente distinto da grelha avulsa.;https://www.amazon.com.br/;;
41;2026-05-19;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha metálica premium;Amazon;Marketplace;Linear / Novii;Grelha quadrada polida;;Metal;Polida;150;mm;Grelha avulsa premium;161.29;;161.29;Produto;C;Premium;Acabamento metálico eleva o ticket.;https://www.amazon.com.br/;;
42;2026-05-19;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha metálica premium;Amazon;Marketplace;Linear;Grelha quadrada dourada;;Metal;Dourado;150;mm;Grelha avulsa premium;285.9;;285.9;Produto;C;Premium alto;Acabamento decorativo de alto valor.;https://www.amazon.com.br/;;
43;2026-05-19;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha metálica premium;Amazon;Marketplace;Linear;Grelha quadrada cobre rosé;;Metal;Rosé;150;mm;Grelha avulsa premium;286.2;;286.2;Produto;C;Premium alto;Acabamento decorativo de alto valor.;https://www.amazon.com.br/;;
44;2026-05-19;TUBO EXT SIMPLES UNI;Tubo extensivo simples universal;Branco 1,10 m;Magalu;Marketplace;Blukit;Sifão tubo extensivo simples universal branco;;n/i;Branco;1,10;m;Simples;19.44;19.44;19.44;Produto;A;Intermediário;Boa comparabilidade por medida.;https://www.magazineluiza.com.br/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de tubo extensivo Blukit.
45;2026-05-19;TUBO EXT SIMPLES UNI;Tubo extensivo simples universal;Branco simples;Magalu;Marketplace;Blukit;Tubo extensivo universal branco;;n/i;Branco;n/i;;Simples;11.61;11.61;11.61;Produto;B;Econômico;Medida não explicitada no registro.;https://www.magazineluiza.com.br/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de tubo extensivo Blukit.
46;2026-05-19;TUBO EXT SIMPLES UNI;Tubo extensivo simples universal;Branco 72 cm;Magalu;Marketplace;Plasbohn;Tubo extensivo simples universal branco;;n/i;Branco;72;cm;Simples;11.15;11.15;11.15;Produto;A;Econômico;Comparar por faixa de comprimento.;https://www.magazineluiza.com.br/;;
47;2026-05-19;TUBO EXT SIMPLES UNI;Tubo extensivo simples universal;Black 1,10 m;Amazon;Marketplace;Blukit;Tubo extensivo simples universal black com canopla;;n/i;Preto;1,10;m;Com canopla;56.9;;56.9;Produto;C;Premium;Acabamento black e canopla elevam preço.;https://www.amazon.com.br/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de tubo extensivo Blukit.
48;2026-05-19;TUBO EXT SIMPLES UNI;Tubo extensivo simples universal;Cromado 1,5 m;Amazon;Marketplace;Genérica;Sifão tubo extensivo cromado com canopla;;n/i;Cromado;1,5;m;Com canopla;69.9;;69.9;Produto;C;Premium alto;Não comparar com branco simples.;https://www.amazon.com.br/;;
49;2026-05-19;TUBO EXT SIMPLES UNI;Tubo extensivo simples universal;Cromado;Leroy Merlin;Varejo próprio;Genérica;Tubo extensivo universal simples cromado;;n/i;Cromado;n/i;;Cromado;29.9;;29.9;Produto;B;Intermediário/premium;Acabamento cromado.;https://www.leroymerlin.com.br/;;
50;2026-05-19;TUBO EXT SIMPLES UNI;Tubo extensivo simples universal;Branco 1,10 m;Cassol;Varejo próprio;Blukit;Tubo extensivo simples universal 1,10 m;;n/i;Branco;1,10;m;Simples;18.9;;18.9;Produto;A;Intermediário;Boa referência de varejo especializado.;https://www.cassol.com.br/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de tubo extensivo Blukit.
51;2026-05-19;TUBO EXT SIMPLES UNI;Tubo extensivo simples universal;Branco 1,10 m;Casa Mimosa;Varejo próprio;Blukit;Tubo extensivo simples universal 1,10 m;;n/i;Branco;1,10;m;Simples;11.16;;11.16;Produto;A;Econômico;Comparável com Cassol e Magalu 1,10 m.;https://www.casamimosa.com.br/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de tubo extensivo Blukit.
52;2026-05-19;TUBO EXT SIMPLES UNI;Tubo extensivo simples universal;Branco simples;Casas da Água;Varejo próprio;n/i;Tubo extensivo simples universal;;n/i;Branco;n/i;;Simples;12.9;;12.9;Produto;B;Econômico;Validar marca e medida.;https://www.casasdagua.com.br/;;
53;2026-05-19;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple duplo;Mercado Livre;Marketplace;Blukit;Niple duplo cromado 1/2;;Inox / metal cromado;Cromado;"1/2""";;Duplo;18.9;;18.9;Produto;A;Intermediário;Comparável com niple unitário de mesma medida.;https://www.mercadolivre.com.br/;assets/product-images/blukit_niple_paralelo.png;Imagem pública de referência de niple Blukit.
54;2026-05-19;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple duplo;Mercado Livre;Marketplace;Blukit;Niple duplo cromado 1/2 blister;;n/i;Cromado;"1/2""";;Duplo;21.31;;21.31;Produto;A;Intermediário;Variação de embalagem/seller.;https://www.mercadolivre.com.br/;assets/product-images/blukit_niple_paralelo.png;Imagem pública de referência de niple Blukit.
55;2026-05-19;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Kit;Mercado Livre;Marketplace;Blukit;Kit 2 peças niple duplo cromado;;n/i;Cromado;"1/2""";;Kit 2 unidades;76.67;;76.67;Produto;D;Não comparável;Não comparar com unidade.;https://www.mercadolivre.com.br/;assets/product-images/blukit_niple_paralelo.png;Imagem pública de referência de niple Blukit.
56;2026-05-19;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple latão cromado;Amazon;Marketplace;Roco;Niple duplo latão cromado 1/2;;Latão;Cromado;"1/2""";;Duplo;44.75;;44.75;Produto;B;Premium;Material superior ao metal comum.;https://www.amazon.com.br/;;
57;2026-05-19;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple latão cromado;Amazon;Marketplace;Censi;Niple duplo latão cromado 1/2 x 1/2;;Latão;Cromado;"1/2""";;Duplo;64.98;;64.98;Produto;B;Premium alto;Latão cromado com marca de referência.;https://www.amazon.com.br/;;
58;2026-05-19;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple metálico;Magalu;Marketplace;Dalcon;Niple metal cromado 1/2;;Metal;Cromado;"1/2""";;Duplo;12.81;;12.81;Produto;A;Econômico;Bom piso de preço para unidade.;https://www.magazineluiza.com.br/;;
59;2026-05-19;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple duplo;Cassol;Varejo próprio;Blukit;Niple duplo 1/2 cromado;;n/i;Cromado;"1/2""";;Duplo;20.9;;20.9;Produto;A;Intermediário;Referência de varejo especializado.;https://www.cassol.com.br/;assets/product-images/blukit_niple_paralelo.png;Imagem pública de referência de niple Blukit.
60;2026-05-19;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple metálico;Casa Mimosa;Varejo próprio;Metais Rei;Niple 1/2 cromado;;Metal;Cromado;"1/2""";;Duplo;10.06;;10.06;Produto;A;Econômico;Piso de preço observado.;https://www.casamimosa.com.br/;;
61;2026-05-19;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple metálico;Shopee;Marketplace;Genérica;Niple 1/2 cromado;;n/i;Cromado;"1/2""";;Duplo;11.94;;11.94;Busca;A;Econômico;Validar marca e material.;https://shopee.com.br/;;
62;2026-05-19;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple metálico;Mercado Livre;Marketplace;Metais Reis;Niple cromado 1/2;;Metal;Cromado;"1/2""";;Duplo;32.9;;32.9;Produto;B;Intermediário/premium;Preço acima da faixa de entrada.;https://www.mercadolivre.com.br/;;
63;2026-05-20;SIFÃO;Sifão;Sifão sanfonado universal 1,50 m;Telhanorte;Varejo Online;Censi;Sifão sanfonado universal 1,50 m;;Plástico;Branco;1,50 m;m;Sanfonado;19.9;15.92;15.92;Produto;B;Funcional básico;"Comprimento maior que modelos compactos; comparar por metragem.";https://www.telhanorte.com.br/;;
64;2026-05-20;SIFÃO;Sifão;Sifão sanfonado universal 2,00 m;Telhanorte;Varejo Online;Censi;Sifão sanfonado universal 2,00 m;;Plástico;Branco;2,00 m;m;Sanfonado;22.9;;22.9;Produto;C;Funcional básico;"Comprimento superior; não comparar diretamente com 70 cm ou 1,10 m.";https://www.telhanorte.com.br/;;
65;2026-05-20;SIFÃO;Sifão;Sifão sanfonado universal 0,69 m;Telhanorte;Varejo Online;Censi;Sifão sanfonado universal 0,69 m;;Plástico;Branco;0,69 m;m;Sanfonado;9.9;8.9;8.9;Produto;B;Entrada;"Modelo compacto; referência de piso de preço.";https://www.telhanorte.com.br/;;
66;2026-05-20;SIFÃO;Sifão;Sifão universal simples;Ferreira Costa;Varejo Online;Amanco;Sifão universal;;PVC;Branco;n/i;;Simples;10.4;;10.4;Produto;B;Entrada;Comparável com sifões simples sem acabamento premium.;https://www.ferreiracosta.com/;;
67;2026-05-20;SIFÃO;Sifão;Sifão universal preto;Ferreira Costa;Varejo Online;Astra;Sifão universal preto;;Plástico;Preto;n/i;;Simples;13.9;;13.9;Produto;C;Intermediário;"Cor preta tende a deslocar preço; comparar com cuidado.";https://www.ferreiracosta.com/;;
68;2026-05-20;SIFÃO;Sifão;Sifão com copo;Ferreira Costa;Varejo Online;Astra;Sifão com copo;;Plástico;Branco;n/i;;Com copo;19.9;;19.9;Produto;C;Intermediário;"Com copo; não equivalente a tubo extensivo simples.";https://www.ferreiracosta.com/;;
69;2026-05-20;SIFÃO;Sifão;Sifão cromado universal;Telhanorte;Varejo Online;Astra;Sifão cromado universal SSUM2;SSUM2;Plástico cromado;Cromado;n/i;;Acabamento decorativo;29.9;28.11;28.11;Produto;C;Intermediário;Acabamento cromado aumenta ticket.;https://www.telhanorte.com.br/;;
70;2026-05-20;SIFÃO;Sifão;Sifão branco superior;Telhanorte;Varejo Online;Esteves;Sifão branco;;Plástico;Branco;n/i;;Simples;33.9;27.96;27.96;Produto;C;Intermediário;"Preço acima da base econômica; possível efeito de linha/marca.";https://www.telhanorte.com.br/;;
71;2026-05-20;SIFÃO;Sifão;Sifão sanfonado universal branco;Telhanorte;Varejo Online;Astra;Sifão sanfonado universal branco;;Plástico;Branco;n/i;;Sanfonado;13.9;11.82;11.82;Produto;B;Entrada;Comparável à linha branca funcional.;https://www.telhanorte.com.br/;;
72;2026-05-20;SIFÃO;Sifão;Sifão cromado premium;Telhanorte;Varejo Online;Esteves;Sifão cromado;;Metal/Plástico;Cromado;n/i;;Acabamento premium;62.9;56.61;56.61;Produto;D;Premium;"Acabamento premium; registrar como outlier de valor.";https://www.telhanorte.com.br/;;
73;2026-05-20;TUBO EXT SIMPLES UNI;Tubo extensivo simples universal;Tubo extensivo 1,10 m;Calha Úmida;Varejo Online;Não informado;Sifão tubo extensivo 1,10 m;;Plástico;Branco;1,10 m;m;Extensivo;19.85;17.86;17.86;Produto;B;Funcional básico;Referência adicional de tubo extensivo longo.;https://www.calhaumida.com.br/;;
74;2026-05-20;SIFÃO;Sifão;Sifão com copo Blukit;Carajás;Varejo Online;Blukit;Sifão com copo universal branco;031301;Plástico;Branco;n/i;;Com copo;49.9;42.66;42.66;Produto;C;Intermediário;"Blukit com copo; útil como referência específica da marca.";https://www.carajas.com.br/;assets/product-images/blukit_sifao_copo_cromado.png;Imagem pública de referência do sifão com copo cromado Blukit.
75;2026-05-20;SIFÃO;Sifão;Sifão flexível cromado Blukit;Carajás;Varejo Online;Blukit;Sifão flexível porca cromado;;Plástico/metal;Cromado;n/i;;Premium;217.9;189.9;189.9;Produto;D;Premium alto;"Produto com acabamento e construção diferenciados; não comparar com linha básica.";https://www.carajas.com.br/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
76;2026-05-20;TUBO EXT SIMPLES UNI;Tubo extensivo simples universal;Tubo extensivo 70 cm Blukit;Carajás;Varejo Online;Blukit;Tubo extensivo branco 70 cm;;Plástico;Branco;70 cm;cm;Extensivo;44.91;;44.91;Produto;C;Intermediário;"Preço observado em canal varejo; comparar por comprimento.";https://www.carajas.com.br/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de tubo extensivo Blukit.
